sentence1,sentence2,score
"Escalates unresolved issue to technical specialist when first-level support fails. Updates escalation status and specialist ownership.","Calculates agent performance using ticket count, resolution time, and customer ratings.",0
"Closes the support ticket after resolution and customer notification. Stores final status and closure timestamp.","Generates product issue report by grouping tickets by product, issue category, and severity.",0
"Creates a patient appointment request with patient details, doctor preference, and contact information. Updates the clinic booking for initial validation.","Opens a clinic appointment case by storing patient, doctor preference, contact, and request details.",1
"Validates patient profile, contact details, and active medical record. Updates the clinic booking with profile validation results.","Verifies the patient record by checking contact information, required fields, and active profile status.",1
"Checks doctor availability for requested appointment date. Updates the clinic booking with available slots.","Searches doctor schedule and returns available appointment slots for the requested date.",1
"Books appointment slot after patient and doctor availability are confirmed. Stores appointment time and booking reference.","Reserves an appointment slot by assigning doctor, patient, time, and booking reference.",1
"Records diagnosis after medical consultation. Updates patient record with diagnosis notes.","Appends diagnosis notes to the patient medical record after consultation.",1
"Prescribes medication based on diagnosis and doctor instructions. Updates patient record with medicine and dosage details.","Creates a prescription by storing medicine name, dosage, instructions, and patient reference.",1
"Calculates clinic invoice using consultation fee and medication cost. Stores invoice total on the appointment case.","Computes clinic invoice total from consultation charge, medicine fees, and service costs.",1
"Sends appointment summary to the patient with diagnosis, prescription, and invoice details. Updates notification status.","Sends a patient visit summary containing appointment details, diagnosis, prescription, and invoice information.",1
"Closes clinic appointment case after consultation, prescription, invoice, and notification are completed. Stores final status.","Finalizes the clinic appointment by closing it after diagnosis, prescription, invoice, and notification are complete.",1
"Creates a patient appointment request with patient details, doctor preference, and contact information. Updates the clinic booking for initial validation.","Searches doctor schedule and returns available appointment slots for the requested date.",0
"Validates patient profile, contact details, and active medical record. Updates the clinic booking with profile validation results.","Reserves an appointment slot by assigning doctor, patient, time, and booking reference.",0
"Checks doctor availability for requested appointment date. Updates the clinic booking with available slots.","Appends diagnosis notes to the patient medical record after consultation.",0
"Books appointment slot after patient and doctor availability are confirmed. Stores appointment time and booking reference.","Creates a prescription by storing medicine name, dosage, instructions, and patient reference.",0
"Records diagnosis after medical consultation. Updates patient record with diagnosis notes.","Computes clinic invoice total from consultation charge, medicine fees, and service costs.",0
"Prescribes medication based on diagnosis and doctor instructions. Updates patient record with medicine and dosage details.","Sends a patient visit summary containing appointment details, diagnosis, prescription, and invoice information.",0
"Calculates clinic invoice using consultation fee and medication cost. Stores invoice total on the appointment case.","Finalizes the clinic appointment by closing it after diagnosis, prescription, invoice, and notification are complete.",0
"Sends appointment summary to the patient with diagnosis, prescription, and invoice details. Updates notification status.","Generates doctor workload report using appointment count, consultation duration, and cancelled visits.",0
"Creates a hotel room booking request with guest details, selected room type, dates, and contact information. Updates the reservation case for initial validation.","Opens a room reservation case by storing guest, room type, stay dates, contact, and request details.",1
"Validates guest profile, contact details, and active booking eligibility. Updates the reservation case with validation results.","Verifies the guest record by checking contact information, required profile fields, and booking eligibility.",1
"Checks room availability for the selected dates and room type. Updates the reservation case with available room options.","Searches available rooms by matching room type, date range, and occupancy status.",1
"Calculates room booking price using nights, room type, discount, and service fees. Stores the estimated amount on the reservation case.","Computes hotel stay cost by combining nightly rate, number of nights, discount, and extra fees.",1
"Collects booking payment for the approved room reservation. Stores payment reference and marks the reservation as paid.","Settles room reservation payment by recording amount, method, reference, and paid status.",1
"Assigns room number after payment and availability confirmation. Updates the reservation case with assigned room details.","Allocates a room to the reservation by selecting an available room number and updating booking status.",1
"Sends booking confirmation to the guest with room details and stay dates. Updates notification delivery status.","Sends a guest confirmation message containing room number, check-in date, check-out date, and paid status.",1
"Closes the reservation case after payment, room assignment, and notification are completed. Stores final status and closure timestamp.","Finalizes the room reservation by closing it after payment, room assignment, and guest notification are complete.",1
"Creates a hotel room booking request with guest details, selected room type, dates, and contact information. Updates the reservation case for initial validation.","Searches available rooms by matching room type, date range, and occupancy status.",0
"Validates guest profile, contact details, and active booking eligibility. Updates the reservation case with validation results.","Computes hotel stay cost by combining nightly rate, number of nights, discount, and extra fees.",0
"Checks room availability for the selected dates and room type. Updates the reservation case with available room options.","Settles room reservation payment by recording amount, method, reference, and paid status.",0
"Calculates room booking price using nights, room type, discount, and service fees. Stores the estimated amount on the reservation case.","Allocates a room to the reservation by selecting an available room number and updating booking status.",0
"Collects booking payment for the approved room reservation. Stores payment reference and marks the reservation as paid.","Sends a guest confirmation message containing room number, check-in date, check-out date, and paid status.",0
"Assigns room number after payment and availability confirmation. Updates the reservation case with assigned room details.","Finalizes the room reservation by closing it after payment, room assignment, and guest notification are complete.",0
"Sends booking confirmation to the guest with room details and stay dates. Updates notification delivery status.","Generates hotel occupancy report by counting booked rooms, vacant rooms, and cancelled reservations.",0
"Creates a car rental booking with customer details, selected vehicle, rental dates, and contact information. Updates the rental case for initial validation.","Opens a car rental case by storing customer, vehicle type, rental dates, contact, and request details.",1
"Validates driver profile, license details, and contact information. Updates the rental case with driver validation results.","Verifies the driver record by checking license validity, contact details, and required identity fields.",1
"Checks vehicle availability for the selected dates and vehicle type. Updates the rental case with available vehicle options.","Searches vehicle availability by matching rental dates, vehicle class, and reservation status.",1
"Calculates rental cost using daily rate, rental days, insurance, and service fees. Stores the estimated amount on the rental case.","Computes car rental price by combining daily rate, number of days, insurance, and additional fees.",1
"Collects rental payment for the approved vehicle booking. Stores payment reference and marks the rental as paid.","Settles car rental payment by recording amount, method, reference, and paid status.",1
"Assigns vehicle to the rental booking after payment and availability confirmation. Updates the rental case with vehicle details.","Allocates a vehicle to the rental case by selecting an available car and updating booking status.",1
"Sends rental confirmation to the customer with vehicle details and pickup instructions. Updates notification delivery status.","Sends a rental confirmation message containing vehicle details, pickup time, payment status, and instructions.",1
"Closes the rental case after payment, vehicle assignment, and notification are completed. Stores final status and closure timestamp.","Finalizes the car rental case by closing it after payment, vehicle assignment, and customer notification are complete.",1
"Creates a car rental booking with customer details, selected vehicle, rental dates, and contact information. Updates the rental case for initial validation.","Verifies the driver record by checking license validity, contact details, and required identity fields.",0
"Validates driver profile, license details, and contact information. Updates the rental case with driver validation results.","Searches vehicle availability by matching rental dates, vehicle class, and reservation status.",0
"Checks vehicle availability for the selected dates and vehicle type. Updates the rental case with available vehicle options.","Computes car rental price by combining daily rate, number of days, insurance, and additional fees.",0
"Calculates rental cost using daily rate, rental days, insurance, and service fees. Stores the estimated amount on the rental case.","Settles car rental payment by recording amount, method, reference, and paid status.",0
"Collects rental payment for the approved vehicle booking. Stores payment reference and marks the rental as paid.","Allocates a vehicle to the rental case by selecting an available car and updating booking status.",0
"Assigns vehicle to the rental booking after payment and availability confirmation. Updates the rental case with vehicle details.","Sends a rental confirmation message containing vehicle details, pickup time, payment status, and instructions.",0
"Sends rental confirmation to the customer with vehicle details and pickup instructions. Updates notification delivery status.","Calculates fleet utilization by comparing rented vehicles, available vehicles, and maintenance vehicles.",0
"Creates a food delivery order with customer details, restaurant selection, cart items, and address. Updates the delivery case for validation.","Opens a food delivery order by storing customer, restaurant, items, address, and contact details.",1
"Validates customer profile, contact details, and delivery address. Updates the delivery case with validation results.","Verifies the delivery customer record by checking phone, email, address, and required profile fields.",1
"Checks restaurant availability and item availability for the selected order. Updates unavailable items and order status.","Scans restaurant menu availability and returns whether requested food items can be prepared.",1
"Calculates order total using menu items, delivery fee, discount, and tax. Stores payable amount on the delivery case.","Computes food order total by combining item subtotal, delivery charge, discount, and tax.",1
"Processes customer payment for the food delivery order. Stores payment reference and marks the order as paid.","Charges the food order payment method and stores amount, reference, method, and paid status.",1
"Assigns delivery rider based on location, workload, and restaurant area. Updates the delivery case with rider ownership.","Allocates a rider to the delivery order by matching route area, availability, and workload.",1
"Dispatches the order after preparation and rider assignment. Updates order status with dispatch timestamp.","Marks the food order as dispatched by recording rider, restaurant, and dispatch time details.",1
"Sends delivery tracking notification to the customer. Updates notification delivery status with tracking information.","Sends a food delivery tracking message containing rider details, order status, and estimated arrival time.",1
"Closes the food delivery case after delivery confirmation and notification are completed. Stores final status and closure timestamp.","Finalizes the food delivery order by marking it delivered and closed after customer notification.",1
"Creates a food delivery order with customer details, restaurant selection, cart items, and address. Updates the delivery case for validation.","Scans restaurant menu availability and returns whether requested food items can be prepared.",0
"Validates customer profile, contact details, and delivery address. Updates the delivery case with validation results.","Computes food order total by combining item subtotal, delivery charge, discount, and tax.",0
"Checks restaurant availability and item availability for the selected order. Updates unavailable items and order status.","Charges the food order payment method and stores amount, reference, method, and paid status.",0
"Calculates order total using menu items, delivery fee, discount, and tax. Stores payable amount on the delivery case.","Allocates a rider to the delivery order by matching route area, availability, and workload.",0
"Processes customer payment for the food delivery order. Stores payment reference and marks the order as paid.","Marks the food order as dispatched by recording rider, restaurant, and dispatch time details.",0
"Assigns delivery rider based on location, workload, and restaurant area. Updates the delivery case with rider ownership.","Sends a food delivery tracking message containing rider details, order status, and estimated arrival time.",0
"Dispatches the order after preparation and rider assignment. Updates order status with dispatch timestamp.","Finalizes the food delivery order by marking it delivered and closed after customer notification.",0
"Sends delivery tracking notification to the customer. Updates notification delivery status with tracking information.","Generates restaurant performance report using order volume, preparation delays, and customer ratings.",0
"Creates a donation request with donor details, campaign selection, amount, and contact information. Updates the donation case for validation.","Opens a donation case by storing donor, campaign, amount, contact, and request details.",1
"Validates donor profile, contact details, and payment eligibility. Updates the donation case with validation results.","Verifies the donor record by checking contact information, required fields, and payment eligibility.",1
"Checks campaign availability and donation limits before payment. Updates the donation case with campaign validation status.","Checks campaign status and verifies that the requested donation amount is allowed.",1
"Processes donation payment using selected payment method. Stores transaction reference and marks donation as paid.","Settles donation payment by saving amount, method, transaction reference, and paid status.",1
"Generates donation receipt with campaign, donor, amount, and transaction details. Stores receipt reference on the donation case.","Creates a donation receipt by generating receipt number and storing donor, campaign, and payment details.",1
"Sends donation confirmation to the donor with receipt and campaign information. Updates notification delivery status.","Sends a donor confirmation message containing donation amount, campaign name, receipt, and thanks message.",1
"Closes the donation case after payment, receipt generation, and notification are completed. Stores final status and timestamp.","Finalizes the donation case by closing it after payment, receipt, and donor notification are complete.",1
"Creates a donation request with donor details, campaign selection, amount, and contact information. Updates the donation case for validation.","Checks campaign status and verifies that the requested donation amount is allowed.",0
"Validates donor profile, contact details, and payment eligibility. Updates the donation case with validation results.","Settles donation payment by saving amount, method, transaction reference, and paid status.",0
"Checks campaign availability and donation limits before payment. Updates the donation case with campaign validation status.","Creates a donation receipt by generating receipt number and storing donor, campaign, and payment details.",0
"Processes donation payment using selected payment method. Stores transaction reference and marks donation as paid.","Sends a donor confirmation message containing donation amount, campaign name, receipt, and thanks message.",0
"Generates donation receipt with campaign, donor, amount, and transaction details. Stores receipt reference on the donation case.","Finalizes the donation case by closing it after payment, receipt, and donor notification are complete.",0
"Sends donation confirmation to the donor with receipt and campaign information. Updates notification delivery status.","Calculates campaign performance by comparing donation count, total amount, and donor retention.",0
"Creates a travel booking request with traveler details, destination, travel dates, and contact information. Updates the trip case for validation.","Opens a travel booking case by storing traveler, destination, dates, contact, and request details.",1
"Validates traveler profile, passport details, and contact information. Updates the trip case with traveler validation results.","Verifies the traveler record by checking passport validity, contact details, and required profile fields.",1
"Checks trip availability for destination and selected dates. Updates the trip case with available package options.","Searches travel package availability by matching destination, dates, and capacity.",1
"Calculates travel package cost using destination, nights, travelers, discounts, and service fees. Stores estimated amount.","Computes trip package price by combining destination rate, nights, traveler count, discount, and fees.",1
"Collects travel booking payment for the approved trip. Stores payment reference and marks trip as paid.","Settles trip payment by recording amount, method, reference, and paid status.",1
"Reserves travel package after payment and availability confirmation. Updates booking case with reservation reference.","Books the selected travel package by creating reservation reference and updating trip status.",1
"Sends travel confirmation to the traveler with destination, dates, and payment details. Updates notification delivery status.","Sends a travel confirmation message containing trip dates, destination, reservation, and paid status.",1
"Closes the travel booking case after payment, reservation, and notification are completed. Stores final status.","Finalizes the travel booking by closing it after payment, reservation, and traveler notification are complete.",1
"Creates a travel booking request with traveler details, destination, travel dates, and contact information. Updates the trip case for validation.","Searches travel package availability by matching destination, dates, and capacity.",0
"Validates traveler profile, passport details, and contact information. Updates the trip case with traveler validation results.","Computes trip package price by combining destination rate, nights, traveler count, discount, and fees.",0
"Checks trip availability for destination and selected dates. Updates the trip case with available package options.","Settles trip payment by recording amount, method, reference, and paid status.",0
"Calculates travel package cost using destination, nights, travelers, discounts, and service fees. Stores estimated amount.","Books the selected travel package by creating reservation reference and updating trip status.",0
"Collects travel booking payment for the approved trip. Stores payment reference and marks trip as paid.","Sends a travel confirmation message containing trip dates, destination, reservation, and paid status.",0
"Reserves travel package after payment and availability confirmation. Updates booking case with reservation reference.","Finalizes the travel booking by closing it after payment, reservation, and traveler notification are complete.",0
"Sends travel confirmation to the traveler with destination, dates, and payment details. Updates notification delivery status.","Generates destination demand report using bookings, cancellations, and seasonal travel trends.",0
"Creates a project task assignment with project details, assignee, due date, and task description. Updates the task case for validation.","Opens a project task record by storing project, assignee, due date, description, and request details.",1
"Validates assignee profile, project membership, and active status. Updates the task case with assignee validation results.","Verifies the assignee record by checking project membership, active status, and required profile fields.",1
"Checks task dependency completion before assignment. Updates the task case with dependency validation results.","Checks whether required prerequisite tasks are complete before allowing assignment.",1
"Assigns task to the selected project member. Updates ownership and assignment timestamp.","Allocates the task to a team member by saving owner, assignment time, and task status.",1
"Schedules task deadline based on project plan and priority. Stores due date and priority information.","Plans the task deadline by saving due date, priority, and schedule notes.",1
"Sends task assignment notification to the assignee. Updates notification delivery status with task details.","Sends an assignee notification containing task description, deadline, priority, and project reference.",1
"Records task completion after submitted work is reviewed. Updates task status and completion timestamp.","Marks the project task as completed by storing completion notes and finish time.",1
"Closes the task case after assignment, completion, and notification are finalized. Stores final status and closure timestamp.","Finalizes the task record by closing it after assignment, completion, and notification are complete.",1
"Creates a project task assignment with project details, assignee, due date, and task description. Updates the task case for validation.","Checks whether required prerequisite tasks are complete before allowing assignment.",0
"Validates assignee profile, project membership, and active status. Updates the task case with assignee validation results.","Allocates the task to a team member by saving owner, assignment time, and task status.",0
"Checks task dependency completion before assignment. Updates the task case with dependency validation results.","Plans the task deadline by saving due date, priority, and schedule notes.",0
"Assigns task to the selected project member. Updates ownership and assignment timestamp.","Sends an assignee notification containing task description, deadline, priority, and project reference.",0
"Schedules task deadline based on project plan and priority. Stores due date and priority information.","Marks the project task as completed by storing completion notes and finish time.",0
"Sends task assignment notification to the assignee. Updates notification delivery status with task details.","Finalizes the task record by closing it after assignment, completion, and notification are complete.",0
"Records task completion after submitted work is reviewed. Updates task status and completion timestamp.","Calculates developer productivity using completed tasks, delayed tasks, and review feedback.",0
"Creates a lab test request with patient details, selected test, doctor reference, and contact information. Updates the lab case for validation.","Opens a laboratory test case by storing patient, test type, doctor, contact, and request details.",1
"Validates patient profile, contact details, and doctor reference. Updates the lab case with validation results.","Verifies the lab patient record by checking contact details, required fields, and doctor reference.",1
"Checks lab test availability for requested date and selected test. Updates the lab case with available test slots.","Searches lab schedule availability by matching test type, date, and sample capacity.",1
"Collects lab test payment before sample processing. Stores payment reference and marks the lab case as paid.","Settles laboratory payment by saving amount, method, reference, and paid status.",1
"Schedules sample collection for the approved lab test. Stores collection time and collection instructions.","Plans sample collection by saving appointment time, test type, patient, and handling instructions.",1
"Records lab result after test processing is completed. Updates patient report with result values and interpretation.","Stores laboratory result values, interpretation, completion time, and patient report reference.",1
"Sends lab result notification to the patient and doctor. Updates notification delivery status.","Sends a lab result message containing test type, report reference, patient, and doctor details.",1
"Closes the lab test case after payment, sample collection, result recording, and notification. Stores final status.","Finalizes the laboratory test case after collection, result entry, payment, and notification are complete.",1
"Creates a lab test request with patient details, selected test, doctor reference, and contact information. Updates the lab case for validation.","Searches lab schedule availability by matching test type, date, and sample capacity.",0
"Validates patient profile, contact details, and doctor reference. Updates the lab case with validation results.","Settles laboratory payment by saving amount, method, reference, and paid status.",0
"Checks lab test availability for requested date and selected test. Updates the lab case with available test slots.","Plans sample collection by saving appointment time, test type, patient, and handling instructions.",0
"Collects lab test payment before sample processing. Stores payment reference and marks the lab case as paid.","Stores laboratory result values, interpretation, completion time, and patient report reference.",0
"Schedules sample collection for the approved lab test. Stores collection time and collection instructions.","Sends a lab result message containing test type, report reference, patient, and doctor details.",0
"Records lab result after test processing is completed. Updates patient report with result values and interpretation.","Finalizes the laboratory test case after collection, result entry, payment, and notification are complete.",0
"Sends lab result notification to the patient and doctor. Updates notification delivery status.","Generates lab workload report using completed tests, pending tests, and rejected samples.",0
"Creates a training session request with employee details, selected course, and contact information. Updates the training case for validation.","Opens a training request by storing employee, course, contact, and request details.",1
"Validates employee profile, department, and training eligibility. Updates the training case with validation results.","Verifies employee training eligibility by checking department, active status, and required profile fields.",1
"Checks training seat availability for selected course and date. Updates the training case with available session options.","Searches training session capacity and returns available seats for the selected course date.",1
"Collects training payment or budget approval for the selected session. Stores approval reference and payment status.","Records training budget approval by saving approval reference, amount, and status.",1
"Registers employee in the selected training session. Updates roster and training enrollment status.","Adds the employee to the training roster and updates enrollment status as registered.",1
"Sends training confirmation to the employee with course date and session details. Updates notification delivery status.","Sends an employee training confirmation containing course name, session date, and registration status.",1
"Closes the training case after registration, approval, and notification are completed. Stores final status.","Finalizes the training request after registration, budget approval, and employee notification are complete.",1
"Creates a training session request with employee details, selected course, and contact information. Updates the training case for validation.","Searches training session capacity and returns available seats for the selected course date.",0
"Validates employee profile, department, and training eligibility. Updates the training case with validation results.","Records training budget approval by saving approval reference, amount, and status.",0
"Checks training seat availability for selected course and date. Updates the training case with available session options.","Adds the employee to the training roster and updates enrollment status as registered.",0
"Collects training payment or budget approval for the selected session. Stores approval reference and payment status.","Sends an employee training confirmation containing course name, session date, and registration status.",0
"Registers employee in the selected training session. Updates roster and training enrollment status.","Finalizes the training request after registration, budget approval, and employee notification are complete.",0
"Sends training confirmation to the employee with course date and session details. Updates notification delivery status.","Calculates training effectiveness score using attendance, quiz results, and feedback ratings.",0
"Creates a housekeeping request with guest details, selected room, and contact information. Updates the housekeeping request for initial validation.","Opens a housekeeping request by storing guest, room, contact, and request details.",1
"Validates the guest profile, contact details, and active status. Updates the housekeeping request with profile validation results.","Verifies the guest record by checking required details and updating the housekeeping request status.",1
"Checks availability for the selected room and requested date. Updates the housekeeping request with available options and availability status.","Scans availability for the room and returns matching options for the housekeeping request.",1
"Reviews submitted documents for completeness and consistency. Updates the housekeeping request with document review results.","Audits supporting files for the housekeeping request by checking completeness, validity, and required references.",1
"Calculates service cost using request type, selected room, discounts, and service fees. Stores the estimated amount on the housekeeping request.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",1
"Confirms guest approval for the proposed service. Updates the housekeeping request with approval status and confirmation timestamp.","Records the approval decision by saving guest response and updating the housekeeping request status.",1
"Collects the required payment for the approved request. Stores payment reference and marks the housekeeping request as paid.","Settles the payment balance by recording amount, method, reference, and paid status.",1
"Reserves the selected room or service option for the approved request. Blocks it from conflicting use.","Holds the selected service option by assigning the room and updating reservation status.",1
"Assigns a responsible staff member based on skill, schedule, and workload. Updates the housekeeping request with ownership information.","Allocates a case owner by selecting an available staff member with matching skills and lower workload.",1
"Schedules the service activity based on availability and guest preference. Stores planned date and execution notes.","Plans the execution slot by saving schedule, assigned owner, and service timing details.",1
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Produces a confirmation document containing case, schedule, payment, and selected service details.",1
"Sends a status notification to the guest with request progress and next steps. Updates notification delivery status.","Dispatches a status message containing case progress, next step details, and delivery information.",1
"Completes the requested cleaning service after required actions are finished. Stores completion notes and service outcome.","Finishes the service work by recording performed actions, result notes, and completion timestamp.",1
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Finalizes the case record by marking it closed after all required actions are complete.",1
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Denies the request file by saving rejection reason and updating the final status.",1
"Creates a housekeeping request with guest details, selected room, and contact information. Updates the housekeeping request for initial validation.","Audits supporting files for the housekeeping request by checking completeness, validity, and required references.",0
"Validates the guest profile, contact details, and active status. Updates the housekeeping request with profile validation results.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",0
"Checks availability for the selected room and requested date. Updates the housekeeping request with available options and availability status.","Records the approval decision by saving guest response and updating the housekeeping request status.",0
"Reviews submitted documents for completeness and consistency. Updates the housekeeping request with document review results.","Settles the payment balance by recording amount, method, reference, and paid status.",0
"Calculates service cost using request type, selected room, discounts, and service fees. Stores the estimated amount on the housekeeping request.","Holds the selected service option by assigning the room and updating reservation status.",0
"Confirms guest approval for the proposed service. Updates the housekeeping request with approval status and confirmation timestamp.","Allocates a case owner by selecting an available staff member with matching skills and lower workload.",0
"Collects the required payment for the approved request. Stores payment reference and marks the housekeeping request as paid.","Plans the execution slot by saving schedule, assigned owner, and service timing details.",0
"Reserves the selected room or service option for the approved request. Blocks it from conflicting use.","Produces a confirmation document containing case, schedule, payment, and selected service details.",0
"Assigns a responsible staff member based on skill, schedule, and workload. Updates the housekeeping request with ownership information.","Dispatches a status message containing case progress, next step details, and delivery information.",0
"Schedules the service activity based on availability and guest preference. Stores planned date and execution notes.","Finishes the service work by recording performed actions, result notes, and completion timestamp.",0
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Finalizes the case record by marking it closed after all required actions are complete.",0
"Sends a status notification to the guest with request progress and next steps. Updates notification delivery status.","Denies the request file by saving rejection reason and updating the final status.",0
"Completes the requested cleaning service after required actions are finished. Stores completion notes and service outcome.","Opens a housekeeping request by storing guest, room, contact, and request details.",0
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Verifies the guest record by checking required details and updating the housekeeping request status.",0
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Scans availability for the room and returns matching options for the housekeeping request.",0
"Creates a catering order with client details, selected menu package, and contact information. Updates the catering order for initial validation.","Opens a catering order by storing client, menu package, contact, and request details.",1
"Validates the client profile, contact details, and active status. Updates the catering order with profile validation results.","Verifies the client record by checking required details and updating the catering order status.",1
"Checks availability for the selected menu package and requested date. Updates the catering order with available options and availability status.","Scans availability for the menu package and returns matching options for the catering order.",1
"Reviews submitted documents for completeness and consistency. Updates the catering order with document review results.","Audits supporting files for the catering order by checking completeness, validity, and required references.",1
"Calculates service cost using request type, selected menu package, discounts, and service fees. Stores the estimated amount on the catering order.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",1
"Confirms client approval for the proposed service. Updates the catering order with approval status and confirmation timestamp.","Records the approval decision by saving client response and updating the catering order status.",1
"Collects the required payment for the approved request. Stores payment reference and marks the catering order as paid.","Settles the payment balance by recording amount, method, reference, and paid status.",1
"Reserves the selected menu package or service option for the approved request. Blocks it from conflicting use.","Holds the selected service option by assigning the menu package and updating reservation status.",1
"Assigns a responsible staff member based on skill, schedule, and workload. Updates the catering order with ownership information.","Allocates a case owner by selecting an available staff member with matching skills and lower workload.",1
"Schedules the service activity based on availability and client preference. Stores planned date and execution notes.","Plans the execution slot by saving schedule, assigned owner, and service timing details.",1
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Produces a confirmation document containing case, schedule, payment, and selected service details.",1
"Sends a status notification to the client with request progress and next steps. Updates notification delivery status.","Dispatches a status message containing case progress, next step details, and delivery information.",1
"Completes the requested event meal service after required actions are finished. Stores completion notes and service outcome.","Finishes the service work by recording performed actions, result notes, and completion timestamp.",1
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Finalizes the case record by marking it closed after all required actions are complete.",1
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Denies the request file by saving rejection reason and updating the final status.",1
"Creates a catering order with client details, selected menu package, and contact information. Updates the catering order for initial validation.","Audits supporting files for the catering order by checking completeness, validity, and required references.",0
"Validates the client profile, contact details, and active status. Updates the catering order with profile validation results.","Derives a charge estimate by combining base price, adjustments, discounts, and service fees.",0
"Checks availability for the selected menu package and requested date. Updates the catering order with available options and availability status.","Records the approval decision by saving client response and updating the catering order status.",0
"Reviews submitted documents for completeness and consistency. Updates the catering order with document review results.","Settles the payment balance by recording amount, method, reference, and paid status.",0
"Calculates service cost using request type, selected menu package, discounts, and service fees. Stores the estimated amount on the catering order.","Holds the selected service option by assigning the menu package and updating reservation status.",0
"Confirms client approval for the proposed service. Updates the catering order with approval status and confirmation timestamp.","Allocates a case owner by selecting an available staff member with matching skills and lower workload.",0
"Collects the required payment for the approved request. Stores payment reference and marks the catering order as paid.","Plans the execution slot by saving schedule, assigned owner, and service timing details.",0
"Reserves the selected menu package or service option for the approved request. Blocks it from conflicting use.","Produces a confirmation document containing case, schedule, payment, and selected service details.",0
"Assigns a responsible staff member based on skill, schedule, and workload. Updates the catering order with ownership information.","Dispatches a status message containing case progress, next step details, and delivery information.",0
"Schedules the service activity based on availability and client preference. Stores planned date and execution notes.","Finishes the service work by recording performed actions, result notes, and completion timestamp.",0
"Generates a confirmation record with request details, schedule, payment, and selected service information. Stores confirmation reference.","Finalizes the case record by marking it closed after all required actions are complete.",0
"Sends a status notification to the client with request progress and next steps. Updates notification delivery status.","Denies the request file by saving rejection reason and updating the final status.",0
"Completes the requested event meal service after required actions are finished. Stores completion notes and service outcome.","Opens a catering order by storing client, menu package, contact, and request details.",0
"Closes the service case after validation, payment, scheduling, and notification are completed. Stores final status and closure timestamp.","Verifies the client record by checking required details and updating the catering order status.",0
"Rejects the request when validation, availability, or document requirements are not met. Records rejection reason.","Scans availability for the menu package and returns matching options for the catering order.",0
"Creates a lab test case with patient details, selected test panel, and contact information. Updates the lab test case for initial validation.","Opens a lab test case by storing patient, test panel, contact, and request details.",1
"Validates the patient profile, contact details, and active status. Updates the lab test case with profile validation results.","Verifies the patient record by checking required details and updating the lab test case status.",1
"Checks availability for the selected test panel and requested date. Updates the lab test case with available options and availability status.","Scans availability for the test panel and returns matching options for the lab test case.",1
